uparam,viewpoint,possible_2d,possible_3d, difficult
134, 2, 1, 1, 0
134, 3, 1, 1, 0
135, 1, 1, 1, 0
135, 2, 1, 1, 0
135, 3, 1, 1, 0
136, 1, 1, 1, 0
136, 2, 1, 1, 0
136, 3, 1, 1, 0
137, 1, 1, 1, 0
137, 2, 1, 1, 0
137, 3, 1, 1, 0
138, 1, 1, 1, 0
138, 2, 1, 1, 0
138, 3, 1, 1, 0
140, 1, 1, 1, 0
140, 2, 1, 1, 0
140, 3, 1, 1, 0
141, 1, 0, 0, 0
141, 2, 0, 0, 0
141, 3, 0, 0, 0
143, 1, 1, 1, 1
143, 2, 1, 1, 1
143, 3, 1, 1, 1
145, 1, 0, 0, 1
145, 2, 1, 0, 1
145, 3, 1, 0, 1
146, 1, 1, 1, 0
146, 2, 1, 1, 0
146, 3, 1, 1, 0
150, 1, 0, 0, 0
150, 2, 0, 0, 0
150, 3, 0, 0, 0
151, 1, 1, 1, 0
151, 2, 1, 1, 0
151, 3, 1, 1, 0
154, 1, 1, 1, 0
154, 2, 1, 1, 0
154, 3, 1, 1, 0
155, 1, 1, 1, 0
155, 2, 1, 1, 0
155, 3, 1, 1, 0
156, 1, 1, 1, 0
156, 2, 1, 1, 0
156, 3, 1, 1, 0
157, 1, 0, 0, 1
157, 2, 0, 0, 1
157, 3, 0, 0, 1
158, 1, 1, 1, 0
158, 2, 1, 1, 0
158, 3, 1, 1, 0
159, 1, 1, 1, 0
159, 2, 1, 1, 0
159, 3, 1, 1, 0
160, 1, 1, 1, 1
160, 2, 1, 1, 1
160, 3, 1, 1, 1
162, 1, 0, 0, 1
162, 2, 0, 0, 1
162, 3, 0, 0, 1
164, 1, 1, 1, 1
164, 2, 1, 1, 1
164, 3, 1, 1, 1
170, 1, 1, 1, 0
170, 2, 1, 1, 0
170, 3, 1, 1, 0
171, 1, 1, 1, 0
171, 2, 1, 1, 0
171, 3, 1, 1, 0
172, 1, 0, 0, 1
172, 2, 0, 0, 1
172, 3, 0, 0, 1
174, 1, 0, 0, 0
174, 2, 0, 0, 0
174, 3, 0, 0, 0
175, 1, 1, 1, 0
175, 2, 1, 1, 0
175, 3, 1, 1, 0
177, 1, 1, 1, 0
177, 2, 1, 1, 0
177, 3, 1, 1, 0
178, 1, 1, 0, 0
178, 2, 1, 0, 0
178, 3, 0, 0, 0
180, 1, 1, 1, 0
180, 2, 1, 1, 0
180, 3, 1, 1, 0
184, 1, 0, 0, 0
184, 2, 0, 0, 0
184, 3, 0, 0, 0
187, 1, 1, 1, 0
187, 2, 1, 1, 0
187, 3, 1, 1, 0
188, 1, 1, 1, 1
188, 2, 1, 1, 1
188, 3, 1, 1, 1
191, 1, 1, 0, 1
191, 2, 1, 0, 1
191, 3, 0, 0, 1
