uparam,group_index,possibility,realism
Stim_uparam_109_Viewpoint_3_scale_96,0,4.0,3.227272727272727
Stim_uparam_118_Viewpoint_3_scale_32,0,3.8,3.44
Stim_uparam_107_Viewpoint_1_scale_8,0,4.5,3.923076923076923
Stim_uparam_107_Viewpoint_2_scale_8,0,4.28,3.88
Stim_uparam_107_Viewpoint_3_scale_8,0,4.318181818181818,4.090909090909091
Stim_uparam_27_Viewpoint_1_scale_32,0,4.608695652173913,4.0
Stim_uparam_27_Viewpoint_3_scale_32,0,3.64,3.52
Stim_uparam_160_Viewpoint_3_scale_32,0,3.4,3.04
Stim_uparam_26_Viewpoint_1_scale_32,0,4.0,3.5185185185185186
Stim_uparam_26_Viewpoint_2_scale_32,0,4.48,4.0
Stim_uparam_26_Viewpoint_3_scale_32,0,4.1923076923076925,3.423076923076923
Stim_uparam_98_Viewpoint_3_scale_8,0,4.230769230769231,3.6923076923076925
Stim_uparam_155_Viewpoint_3_scale_96,0,3.5416666666666665,3.3333333333333335
Stim_uparam_19_Viewpoint_3_scale_96,0,3.76,3.4
Stim_uparam_52_Viewpoint_1_scale_8,0,4.296296296296297,3.962962962962963
Stim_uparam_52_Viewpoint_2_scale_8,0,4.6,4.4
Stim_uparam_52_Viewpoint_3_scale_8,0,4.615384615384615,4.153846153846154
Stim_uparam_9_Viewpoint_1_scale_96,0,4.185185185185185,4.0
Stim_uparam_9_Viewpoint_2_scale_96,0,4.555555555555555,4.148148148148148
Stim_uparam_9_Viewpoint_3_scale_96,0,4.541666666666667,3.8333333333333335
Stim_uparam_154_Viewpoint_1_scale_32,0,4.6,4.24
Stim_uparam_154_Viewpoint_2_scale_32,0,3.92,3.96
Stim_uparam_154_Viewpoint_3_scale_32,0,4.458333333333333,4.333333333333333
Stim_uparam_164_Viewpoint_3_scale_32,0,3.5833333333333335,3.2083333333333335
Stim_uparam_102_Viewpoint_1_scale_96,0,3.96,3.64
Stim_uparam_102_Viewpoint_2_scale_96,0,3.52,3.16
Stim_uparam_102_Viewpoint_3_scale_96,0,4.166666666666667,3.5416666666666665
Stim_uparam_79_Viewpoint_1_scale_32,0,4.625,4.166666666666667
Stim_uparam_79_Viewpoint_2_scale_32,0,3.730769230769231,3.3461538461538463
Stim_uparam_79_Viewpoint_3_scale_32,0,4.8076923076923075,4.769230769230769
Stim_uparam_101_Viewpoint_2_scale_96,0,3.48,3.4
Stim_uparam_101_Viewpoint_3_scale_96,0,3.84,3.32
Stim_uparam_124_Viewpoint_1_scale_8,0,3.9583333333333335,3.5416666666666665
Stim_uparam_124_Viewpoint_2_scale_8,0,4.3478260869565215,4.086956521739131
Stim_uparam_124_Viewpoint_3_scale_8,0,4.5,4.0
