uparam,group_index,possibility,realism
Stim_uparam_143_Viewpoint_1_scale_96,0,4.24,3.72
Stim_uparam_51_Viewpoint_3_scale_32,0,4.08,3.72
Stim_uparam_159_Viewpoint_1_scale_32,0,4.318,4.136
Stim_uparam_159_Viewpoint_2_scale_32,0,4.333,3.958
Stim_uparam_159_Viewpoint_3_scale_32,0,4.25,4.0
Stim_uparam_68_Viewpoint_1_scale_96,0,4.304,3.87
Stim_uparam_68_Viewpoint_2_scale_96,0,4.375,4.25
Stim_uparam_68_Viewpoint_3_scale_96,0,4.522,4.391
Stim_uparam_96_Viewpoint_3_scale_8,0,4.429,3.667
Stim_uparam_33_Viewpoint_1_scale_32,0,4.5,4.357
Stim_uparam_33_Viewpoint_2_scale_32,0,4.786,4.5
Stim_uparam_119_Viewpoint_1_scale_8,0,4.083,3.833
Stim_uparam_119_Viewpoint_2_scale_8,0,4.5,3.885
Stim_uparam_119_Viewpoint_3_scale_8,0,4.36,3.84
Stim_uparam_66_Viewpoint_2_scale_8,0,4.24,3.92
Stim_uparam_127_Viewpoint_1_scale_32,0,4.519,4.037
Stim_uparam_127_Viewpoint_2_scale_32,0,4.16,3.76
Stim_uparam_127_Viewpoint_3_scale_32,0,4.269,3.769
Stim_uparam_137_Viewpoint_1_scale_8,0,4.571,3.762
Stim_uparam_137_Viewpoint_2_scale_8,0,4.583,4.042
Stim_uparam_137_Viewpoint_3_scale_8,0,4.462,4.231
Stim_uparam_170_Viewpoint_1_scale_96,0,4.192,3.731
Stim_uparam_123_Viewpoint_1_scale_8,0,4.259,3.889
Stim_uparam_89_Viewpoint_2_scale_8,0,4.241,4.069
Stim_uparam_151_Viewpoint_2_scale_8,0,4.321,3.964
Stim_uparam_151_Viewpoint_3_scale_8,0,4.462,4.346
Stim_uparam_72_Viewpoint_2_scale_8,0,4.429,3.964
Stim_uparam_72_Viewpoint_3_scale_8,0,4.552,3.931
Stim_uparam_43_Viewpoint_1_scale_96,3,1.56,1.28
Stim_uparam_43_Viewpoint_2_scale_96,3,1.231,1.115
Stim_uparam_3_Viewpoint_2_scale_96,3,2.185,1.704
Stim_uparam_16_Viewpoint_2_scale_96,3,1.958,1.583
Stim_uparam_16_Viewpoint_3_scale_96,3,2.0,1.75
Stim_uparam_188_Viewpoint_2_scale_96,3,2.286,1.667
Stim_uparam_191_Viewpoint_1_scale_96,3,2.04,1.68
Stim_uparam_191_Viewpoint_2_scale_96,3,2.192,1.731
Stim_uparam_191_Viewpoint_3_scale_96,3,1.826,1.652
Stim_uparam_150_Viewpoint_3_scale_32,3,1.821,1.571
Stim_uparam_150_Viewpoint_2_scale_32,3,1.192,1.0
Stim_uparam_13_Viewpoint_1_scale_96,3,1.615,1.462
Stim_uparam_13_Viewpoint_2_scale_96,3,1.958,1.667
Stim_uparam_13_Viewpoint_3_scale_96,3,1.56,1.4
Stim_uparam_174_Viewpoint_2_scale_96,3,1.786,1.607
Stim_uparam_50_Viewpoint_1_scale_32,3,2.042,1.542
Stim_uparam_50_Viewpoint_3_scale_32,3,1.957,1.609
Stim_uparam_178_Viewpoint_3_scale_96,3,2.045,1.955
Stim_uparam_184_Viewpoint_1_scale_96,3,1.615,1.385
Stim_uparam_184_Viewpoint_2_scale_96,3,1.8,1.32
Stim_uparam_157_Viewpoint_2_scale_32,3,2.269,1.923
Stim_uparam_25_Viewpoint_1_scale_32,3,1.846,1.538
Stim_uparam_25_Viewpoint_2_scale_32,3,1.962,1.692
Stim_uparam_25_Viewpoint_3_scale_32,3,1.72,1.36
Stim_uparam_65_Viewpoint_2_scale_32,3,1.76,1.76
Stim_uparam_65_Viewpoint_3_scale_32,3,1.96,1.64
Stim_uparam_36_Viewpoint_1_scale_32,3,1.621,1.793
Stim_uparam_36_Viewpoint_2_scale_32,3,2.083,1.917
