pose_name,url
Stim_uparam_119_Viewpoint_3_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cumdwm4Tf0msGrA
Stim_uparam_122_Viewpoint_1_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bJwCkY9YPMwBjdc
Stim_uparam_122_Viewpoint_2_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4NEXF4wC3Y3Pi86
Stim_uparam_122_Viewpoint_3_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3sh8kl2gyDp5dZk
Stim_uparam_123_Viewpoint_1_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5mVVAJWmmNGINjo
Stim_uparam_123_Viewpoint_2_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_54F0Lg0yOkE4I8m
Stim_uparam_123_Viewpoint_3_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1EPgWl5e0gOfYLs
Stim_uparam_124_Viewpoint_1_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eRmOviWRZbWwOua
Stim_uparam_124_Viewpoint_2_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0CK6b0xiO90InIi
Stim_uparam_124_Viewpoint_3_scale_8,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4JCPU3k6IJQQIL4
Stim_uparam_127_Viewpoint_1_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3vILe6snh0HWgGa
Stim_uparam_127_Viewpoint_2_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cGQvtNsYUx8s9D0
Stim_uparam_127_Viewpoint_3_scale_32,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5A27LvrBNX4cdf0
Stim_uparam_13_Viewpoint_1_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aW48y9bkruWVn7M
Stim_uparam_13_Viewpoint_2_scale_96,https://maastrichtuniversity.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9MmIFtbaH3N3Fxs
